"","mod.rep","df","AIC"
"m1.SUVA.T0.gam","~Treatment + s(plant.mass..g, by= Treatment)",8.54408792518788,68.2460261635136
"m2.SUVA.T0.gam","~Treatment + s(plant.mass..g)",4.73064905261865,70.9418704800176
"m3.SUVA.T0.gam","~s(plant.mass..g)",3.00036371293972,81.6908765817574
"m1.suva.T1.gam","~Treatment + s(plant.mass..g, by= Treatment)",11.8297900398375,16.6848382911303
"m2.suva.T1.gam","~Treatment + s(plant.mass..g)",7.75869895734509,18.6092549752115
"m3.suva.T1.gam","~s(plant.mass..g)",6.76272215128629,17.6811917077369
"m1.suva.T2.gam","~Treatment + s(plant.mass..g, by= Treatment)",6.56091391365628,166.807209887486
"m2.suva.T2.gam","~Treatment + s(plant.mass..g)",5.09561224078696,168.006341511314
"m3.suva.T2.gam","~s(plant.mass..g)",4.08705155685647,167.399497043384
"m1.suva.T3.gam","~Treatment + s(plant.mass..g, by= Treatment)",10.018359539731,23.8790731118478
"m2.suva.T3.gam","~Treatment + s(plant.mass..g)",7.06714540724468,28.3120174134589
"m3.suva.T3.gam","~s(plant.mass..g)",5.51827838406161,36.9246705463553
"m1.suva.T4.gam","~Treatment + s(plant.mass..g, by= Treatment)",6.94928061876092,33.3668928436668
"m2.suva.T4.gam","~Treatment + s(plant.mass..g)",5.56033516447261,38.1518182274447
"m3.suva.T4.gam","~s(plant.mass..g)",4.57625686821205,36.6903490413658
